                          ----	 -----	                ------	 -----	       assignmentStmt	  no	        singleOrRecId


                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	        singleOrRecId	  no	               new_24


                          ----	 -----	                ------	 -----	                 stmt	  no	       assignmentStmt


                          <---	    12	           TK_ASSIGNOP	 ------	       assignmentStmt	 yes	                 ----


                        b5b567	    12	                 TK_ID	 ------	                  all	 yes	                 ----


                          ----	 -----	                ------	 -----	               factor	  no	                  all


                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	                  all	  no	                 temp


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	                 term


                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	                 term	  no	            termPrime


                          ----	 -----	                ------	 -----	       assignmentStmt	  no	 arithmeticExpression


                             +	    12	               TK_PLUS	 ------	 lowPrecedenceOperators	 yes	                 ----


                          ----	 -----	                ------	 -----	             expPrime	  no	 lowPrecedenceOperators


                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	             expPrime


                             1	    12	                TK_NUM	      1	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	               factor	  no	                  all


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	             expPrime	  no	                 term


                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	                 term	  no	            termPrime


                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	             expPrime	  no	             expPrime


                             ;	    12	                TK_SEM	 ------	       assignmentStmt	 yes	                 ----


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                      endwhile	    13	           TK_ENDWHILE	 ------	        iterativeStmt	 yes	                 ----


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                        return	    14	             TK_RETURN	 ------	           returnStmt	 yes	                 ----


                          ----	 -----	                ------	 -----	                stmts	  no	           returnStmt


                             [	    14	                TK_SQL	 ------	       optionalReturn	 yes	                 ----


                          ----	 -----	                ------	 -----	           returnStmt	  no	       optionalReturn


                            d3	    14	                 TK_ID	 ------	               idList	 yes	                 ----


                          ----	 -----	                ------	 -----	       optionalReturn	  no	               idList


                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	               idList	  no	             more_ids


