                          ----	 -----	                ------	 -----	             expPrime	  no	 lowPrecedenceOperators


                          ----	 -----	                ------	 -----	               factor	  no	             expPrime


                            c5	    11	                 TK_ID	 ------	               factor	 yes	                 ----


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	               factor	  no	                 term


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                             -	    11	              TK_MINUS	 ------	 lowPrecedenceOperators	 yes	                 ----


                          ----	 -----	                ------	 -----	             expPrime	  no	 lowPrecedenceOperators


                          ----	 -----	                ------	 -----	               factor	  no	             expPrime


                             5	    11	                TK_NUM	      5	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	             expPrime	  no	                 term


                          ----	 -----	                ------	 -----	             expPrime	  no	                 term


                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	                 term


                             /	    11	                TK_DIV	 ------	 highPrecedenceOperator	 yes	                 ----


                          ----	 -----	                ------	 -----	            termPrime	  no	 highPrecedenceOperator


                          ----	 -----	                ------	 -----	                 term	  no	            termPrime


                             4	    11	                TK_NUM	      4	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	            termPrime	  no	               factor


                          ----	 -----	                ------	 -----	                 stmt	  no	 arithmeticExpression


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                         c4bbb	    12	                 TK_ID	 ------	        singleOrRecId	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	        singleOrRecId


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                    d4cbcd5677	    12	                 TK_ID	 ------	               factor	 yes	                 ----


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	               factor	  no	                 term


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                             -	    12	              TK_MINUS	 ------	 lowPrecedenceOperators	 yes	                 ----


                          ----	 -----	                ------	 -----	             expPrime	  no	 lowPrecedenceOperators


                          ----	 -----	                ------	 -----	               factor	  no	             expPrime


                          2.35	    12	               TK_RNUM	   2.35	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	             expPrime	  no	                 term


                          ----	 -----	                ------	 -----	               factor	  no	                 term


                             *	    12	                TK_MUL	 ------	 highPrecedenceOperator	 yes	                 ----


                          ----	 -----	                ------	 -----	            termPrime	  no	 highPrecedenceOperator


                          ----	 -----	                ------	 -----	                 term	  no	            termPrime


                          2345	    12	                TK_NUM	   2345	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	                 term	  no	               factor


