rule:57	                          ----	 -----	                ------	 -----	                 term	  no	               factor


rule:55	                          ----	 -----	                ------	 -----	             expPrime	  no	                 term


rule:59	                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


rule:57	                          ----	 -----	                ------	 -----	                 term	  no	            termPrime


rule:56	                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


rule:55	                          ----	 -----	                ------	 -----	             expPrime	  no	             expPrime


rule:37	                             ;	    11	                TK_SEM	 ------	       assignmentStmt	 yes	                 ----


rule:30	                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


rule:45	                          ----	 -----	                ------	 -----	        iterativeStmt	  no	           otherStmts


rule:38	                        b5b567	    12	                 TK_ID	 ------	        singleOrRecId	 yes	                 ----


rule:37	                          ----	 -----	                ------	 -----	       assignmentStmt	  no	        singleOrRecId


rule:39	                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


rule:38	                          ----	 -----	                ------	 -----	        singleOrRecId	  no	               new_24


rule:32	                          ----	 -----	                ------	 -----	                 stmt	  no	       assignmentStmt


rule:37	                          <---	    12	           TK_ASSIGNOP	 ------	       assignmentStmt	 yes	                 ----


rule:68	                        b5b567	    12	                 TK_ID	 ------	                  all	 yes	                 ----


rule:61	                          ----	 -----	                ------	 -----	               factor	  no	                  all


rule:69	                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


rule:68	                          ----	 -----	                ------	 -----	                  all	  no	                 temp


rule:57	                          ----	 -----	                ------	 -----	                 term	  no	               factor


rule:54	                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	                 term


rule:59	                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


rule:57	                          ----	 -----	                ------	 -----	                 term	  no	            termPrime


rule:37	                          ----	 -----	                ------	 -----	       assignmentStmt	  no	 arithmeticExpression


rule:64	                             +	    12	               TK_PLUS	 ------	 lowPrecedenceOperators	 yes	                 ----


rule:55	                          ----	 -----	                ------	 -----	             expPrime	  no	 lowPrecedenceOperators


rule:54	                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	             expPrime


rule:66	                             1	    12	                TK_NUM	      1	                 ROOT	 yes	                 ----


rule:61	                          ----	 -----	                ------	 -----	               factor	  no	                  all


rule:57	                          ----	 -----	                ------	 -----	                 term	  no	               factor


rule:55	                          ----	 -----	                ------	 -----	             expPrime	  no	                 term


rule:59	                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


rule:57	                          ----	 -----	                ------	 -----	                 term	  no	            termPrime


